variant,arch,fold,n_test,qwk,accuracy,macro_f1,macro_auc_roc,checkpoint,timestamp
baseline_3ch_convnext_tiny,convnext_tiny,APTOS,3662,0.8324,0.6038,0.4192,0.7731,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/aptos/convnext_tiny/lodo_aptos_convnext_tiny_best.pt,2026-08-11T05:57:03.040769
baseline_3ch_convnext_tiny,convnext_tiny,DDR,12522,0.7466,0.683,0.4714,0.8712,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/ddr/convnext_tiny/lodo_ddr_convnext_tiny_best.pt,2026-08-11T06:42:52.991131
baseline_3ch_convnext_tiny,convnext_tiny,EyePACS,88702,0.4399,0.554,0.3445,0.7501,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/eyepacs/convnext_tiny/lodo_eyepacs_convnext_tiny_best.pt,2026-08-11T05:33:09.381491
baseline_3ch_convnext_tiny,convnext_tiny,Messidor-2,1744,0.725,0.7225,0.5706,0.8648,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/messidor2/convnext_tiny/lodo_messidor2_convnext_tiny_best.pt,2026-08-11T06:23:42.267018
baseline_3ch_deit3_small_patch16_384,deit3_small_patch16_384,APTOS,3662,0.8643,0.6936,0.4824,0.8489,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/aptos/deit3_small_patch16_384/lodo_aptos_deit3_small_patch16_384_best.pt,2026-08-11T07:13:37.492311
baseline_3ch_deit3_small_patch16_384,deit3_small_patch16_384,DDR,12522,0.6801,0.641,0.4337,0.8393,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/ddr/deit3_small_patch16_384/lodo_ddr_deit3_small_patch16_384_best.pt,2026-08-11T07:53:40.211048
baseline_3ch_deit3_small_patch16_384,deit3_small_patch16_384,EyePACS,88702,0.4107,0.4045,0.3149,0.7721,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/eyepacs/deit3_small_patch16_384/lodo_eyepacs_deit3_small_patch16_384_best.pt,2026-08-11T06:53:17.128433
baseline_3ch_deit3_small_patch16_384,deit3_small_patch16_384,Messidor-2,1744,0.6567,0.6835,0.5071,0.8346,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/messidor2/deit3_small_patch16_384/lodo_messidor2_deit3_small_patch16_384_best.pt,2026-08-11T07:33:41.972644
baseline_3ch_maxvit_tiny_tf_384,maxvit_tiny_tf_384,APTOS,3662,0.8366,0.7373,0.4815,0.784,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/aptos/maxvit_tiny_tf_384/lodo_aptos_maxvit_tiny_tf_384_best.pt,2026-08-11T09:59:55.538238
baseline_3ch_maxvit_tiny_tf_384,maxvit_tiny_tf_384,DDR,12522,0.5827,0.6266,0.3698,0.7655,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/ddr/maxvit_tiny_tf_384/lodo_ddr_maxvit_tiny_tf_384_best.pt,2026-08-11T12:57:36.267833
baseline_3ch_maxvit_tiny_tf_384,maxvit_tiny_tf_384,EyePACS,88702,0.2027,0.6197,0.2447,0.6712,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/eyepacs/maxvit_tiny_tf_384/lodo_eyepacs_maxvit_tiny_tf_384_best.pt,2026-08-11T08:30:02.316588
baseline_3ch_maxvit_tiny_tf_384,maxvit_tiny_tf_384,Messidor-2,1744,0.3629,0.5889,0.3857,0.7584,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch/messidor2/maxvit_tiny_tf_384/lodo_messidor2_maxvit_tiny_tf_384_best.pt,2026-08-11T11:21:35.664396
baseline_3ch_unbalanced_convnext_tiny,convnext_tiny,APTOS,3662,0.8607,0.6589,0.4403,0.7663,/home/farhan/my-projects/gradeeye/saved/checkpoints/baseline_3ch_unbalanced/aptos/convnext_tiny/lodo_aptos_convnext_tiny_best.pt,2026-08-11T16:54:17.596154
