phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6477617390694157,0.5852675059008655,0.633289623576808,0.7275843007186291,0.12293552750928383,0.001
phase1_frozen,1,1,0.606119502960088,0.652205448465775,0.5950466492875891,0.7304588170259813,0.08426804650955022,0.0008536998372026809
phase1_frozen,2,2,0.5918936481117546,0.6574178796223447,0.6005601399342878,0.728579325594251,0.1186267730753977,0.0005004999999999998
phase1_frozen,3,3,0.5810424937309007,0.6653225806451613,0.6020123400135947,0.7301271420674406,0.0968572226506087,0.00014730016279731933
phase1_frozen,4,4,0.5733226839244882,0.6656790912667191,0.602082938282051,0.7306799336650083,0.11243957446284081,1e-06
phase2_full_training,0,5,0.5598007672235911,0.4532340509190996,0.5936917466804954,0.7509121061359867,0.5234722002637853,6.710000000000059e-05
phase2_full_training,1,6,0.4948883981470582,0.44271601297552343,0.45283474199115537,0.7493642896627971,0.669606138485012,0.000122
phase2_full_training,2,7,0.4608615470104814,0.4653125921557063,0.4812850679726545,0.770702045328911,0.6790266049316487,0.00012172605131567165
phase2_full_training,3,8,0.434237451534537,0.4892730757888528,0.45131086098218637,0.7763405196241017,0.6920753681782864,0.00012090668618439408
phase2_full_training,4,9,0.40804747106033384,0.5012164553229136,0.461461187773083,0.7715865118850194,0.7157207337546836,0.00011954932490367729
phase2_full_training,5,10,0.3785790090397796,0.5126929126118156,0.5057001519015377,0.7819789939192924,0.6925780448435123,0.00011766625994747286
phase2_full_training,6,11,0.3473039212408969,0.5308168681804777,0.501129714316792,0.7848535102266445,0.6879913332998314,0.00011527454464362293
phase2_full_training,7,12,0.3224251780673242,0.53982355254104,0.5542875852404937,0.7535655058043118,0.7351951556542802,0.00011239583873628684
phase2_full_training,8,13,0.30529495583096283,0.5555391723188833,0.5293268906190423,0.7843007186290768,0.7045170550589208,0.00010905621223193937
phase2_full_training,9,14,0.28578433700277195,0.5683549592057406,0.586070493179965,0.7220563847429519,0.7233190396620033,0.0001052859093053575
phase2_full_training,10,15,0.27090256964604925,0.5833210459058291,0.5359187043276592,0.7901603095632946,0.7296200937926507,0.00010111907440369046
