phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6498253423585949,0.30774661144578314,0.6020865606314832,0.3722010984368399,0.4406984473787442,0.001
phase1_frozen,1,1,0.6058421156492578,0.32661897590361444,0.5879834986558986,0.38741022391212504,0.5164817811594979,0.0008536998372026823
phase1_frozen,2,2,0.5960439815219626,0.331042921686747,0.5761960311987554,0.38867765103506546,0.5083719974937151,0.0005005000000000015
phase1_frozen,3,3,0.5879263052021164,0.34182040662650603,0.5878916911349601,0.3844528939585974,0.4941175154356915,0.00014730016279732017
phase1_frozen,4,4,0.5817230084394834,0.34214984939759036,0.5783762232029444,0.38910012674271227,0.5222264575286963,1e-06
phase2_full_training,0,5,0.5580269394289901,0.33654207362885047,0.52191876312525,0.4292353189691593,0.6273019306388601,2.7499999999999815e-05
phase2_full_training,1,6,0.5280193691411295,0.3753756574004508,0.4949763883857421,0.465568229826785,0.6910851947150516,5e-05
phase2_full_training,2,7,0.5101699347920564,0.38580015026296016,0.48567117300525114,0.4681030840726658,0.6980282989176261,4.962778994879884e-05
phase2_full_training,3,8,0.4912645249416916,0.40237603305785125,0.4635379159178571,0.49218419940853403,0.7252182450988855,4.8522469209254364e-05
phase2_full_training,4,9,0.4796596924157899,0.4125187828700225,0.4945529982491692,0.4723278411491339,0.6982285222611495,4.671762239271834e-05
phase2_full_training,5,10,0.4767686677082063,0.41416228399699473,0.4993078478489639,0.40304182509505704,0.5847522204054292,4.426808885641473e-05
phase2_full_training,6,11,0.4684375363082298,0.4214876033057851,0.4584312726285924,0.49218419940853403,0.7200118612264286,4.124829643731997e-05
phase2_full_training,7,12,0.4632629061622964,0.4264650638617581,0.4677130892199205,0.46261089987325726,0.6888580740526908,3.774999999999973e-05
phase2_full_training,8,13,0.45430647421160825,0.43388429752066116,0.4601630253609495,0.47866497676383607,0.6943518500086174,3.387949351147865e-05
phase2_full_training,9,14,0.44737474199392846,0.4436513899323817,0.5037722277097376,0.4385297845373891,0.6421078838820082,2.9754380352839187e-05
phase2_full_training,10,15,0.4406683946309638,0.45041322314049587,0.46438947331316116,0.48500211237853824,0.7103409473499289,2.5499999999999437e-05
phase2_full_training,11,16,0.446076921530902,0.44050525920360634,0.4833552032696531,0.4550063371356147,0.6667133360686492,2.1245619647159762e-05
