phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6667678912720049,0.3063347138554217,0.6474297172820764,0.3485424588086185,0.43402385497879237,0.001
phase1_frozen,1,1,0.6160914702228752,0.3241246234939759,0.6044119857361814,0.3202365863962822,0.39101719466165386,0.0008536998372026823
phase1_frozen,2,2,0.6043491297098528,0.3263836596385542,0.605033816569054,0.31685678073510776,0.40286080309967276,0.0005005000000000015
phase1_frozen,3,3,0.592312957148954,0.3299604668674699,0.6007953511041884,0.3269961977186312,0.43549365175829047,0.00014730016279732017
phase1_frozen,4,4,0.5920986667814025,0.33791415662650603,0.6000761789362996,0.3189691592733418,0.3959041160189696,1e-06
phase2_full_training,0,5,0.5557093347476327,0.34737880496054113,0.6232327959383396,0.3476975073933249,0.4229690514388086,6.709999999999964e-05
phase2_full_training,1,6,0.5232064826781478,0.38026118000751596,0.5213376643993102,0.47866497676383607,0.7348534117288382,0.000122
phase2_full_training,2,7,0.4972413562599406,0.4079293498684705,0.5109369087732941,0.4347275031685678,0.6379496946534305,0.00012108086905723821
phase2_full_training,3,8,0.4791593113840634,0.4218338970311913,0.49259057259529415,0.46514575411913817,0.6865614482003717,0.00011835140355754707
phase2_full_training,4,9,0.4555894787913648,0.43508079669297256,0.5088971205084043,0.4347275031685678,0.6358753778880366,0.00011389453692895815
phase2_full_training,5,10,0.4450354276071675,0.45025366403607664,0.55109324873778,0.4368398817068019,0.6279223890432182,0.00010784568880869805
phase2_full_training,6,11,0.43264184134519895,0.4551390454716272,0.4490422314866263,0.49302915082382764,0.7134326980510772,0.00010038865038603575
phase2_full_training,7,12,0.4148591319529556,0.46974821495678315,0.4226058583295844,0.5538656527249683,0.7701556000355464,9.17500000000002e-05
phase2_full_training,8,13,0.4120731411718059,0.4746805712138294,0.43800656034768154,0.5137304604985213,0.7253302175574505,8.219221867120322e-05
phase2_full_training,9,14,0.396991564395597,0.49098083427282974,0.5237744257930567,0.43979721166032953,0.6335978091892385,7.200571474884965e-05
phase2_full_training,10,15,0.37737398501380587,0.4874107478391582,0.45012697936313084,0.5149978876214618,0.7363049751599124,6.150000000000065e-05
phase2_full_training,11,16,0.3662947842340996,0.5082675685832394,0.4576031672184005,0.5061258977608788,0.7267802932958229,5.099428525115147e-05
phase2_full_training,12,17,0.35188638962376884,0.513434798947764,0.5063595296992095,0.483312209547951,0.7035666718514855,4.0807781328797584e-05
