phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6302106247136467,0.3305921052631579,0.5858141604591819,0.3694852941176471,0.31610296983773656,0.001
phase1_frozen,1,1,0.5758482398171174,0.3873355263157895,0.7163027314578786,0.3125,0.23560524825600304,0.0008536998372026806
phase1_frozen,2,2,0.548708660037894,0.40522203947368424,0.5835827063111698,0.3860294117647059,0.3989261207724062,0.0005005000000000003
phase1_frozen,3,3,0.5224856079408997,0.40152138157894735,0.5733906556578243,0.41544117647058826,0.45157864782515145,0.0001473001627973196
phase1_frozen,4,4,0.5210025565404641,0.4212582236842105,0.55768762791858,0.4264705882352941,0.4896837225862075,1e-06
phase2_full_training,0,5,0.5080060456773917,0.4039408866995074,0.4877533075564048,0.4650735294117647,0.712882981131299,6.710000000000009e-05
phase2_full_training,1,6,0.47510084715382805,0.42077175697865354,0.48330333522137475,0.5091911764705882,0.6568024556110503,0.000122
phase2_full_training,2,7,0.45520378230827785,0.4640804597701149,0.49305469761876497,0.5073529411764706,0.643108486908809,0.00012108086905723849
phase2_full_training,3,8,0.43635999892145544,0.4848111658456486,0.4324250330819803,0.5441176470588235,0.7832504424849636,0.00011835140355754741
phase2_full_training,4,9,0.4169234383135594,0.4924055829228243,0.48170928700881843,0.5183823529411765,0.7100042814328529,0.00011389453692895841
phase2_full_training,5,10,0.40039861767456447,0.5314039408866995,0.5016893144039547,0.5367647058823529,0.6973760845865504,0.00010784568880869797
phase2_full_training,6,11,0.38060791504206914,0.5262725779967159,0.5627206695430419,0.5386029411764706,0.7474587205551584,0.00010038865038603533
phase2_full_training,7,12,0.36959081455110915,0.5482348111658456,0.4614022231715567,0.5698529411764706,0.7133386967015285,9.174999999999987e-05
phase2_full_training,8,13,0.34732757420669047,0.5539819376026273,0.4678802424493958,0.5625,0.6633592550259801,8.219221867120278e-05
