phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6464162515881269,0.3099949048913043,0.6055602671169653,0.3315548780487805,0.39066922972603535,0.001
phase1_frozen,1,1,0.6069681514054537,0.32472826086956524,0.5936771878382054,0.3155487804878049,0.4029884858714161,0.0008536998372026793
phase1_frozen,2,2,0.5952230014068924,0.33504585597826086,0.5997165107145542,0.3197408536585366,0.38878614812088996,0.0005004999999999996
phase1_frozen,3,3,0.5863057828467825,0.3365319293478261,0.576513838477251,0.34222560975609756,0.4591934759867986,0.0001473001627973196
phase1_frozen,4,4,0.5759634728664937,0.34311311141304346,0.5775097833900917,0.3323170731707317,0.4410011671677778,1e-06
phase2_full_training,0,5,0.5385075767248838,0.3537216005425568,0.7008662860749698,0.4134908536585366,0.6552414547845259,6.709999999999983e-05
phase2_full_training,1,6,0.5080081834737307,0.39755001695489994,0.5164460128218662,0.44664634146341464,0.677010054823925,0.000122
phase2_full_training,2,7,0.4872019755391599,0.4117497456765005,0.4560580199993238,0.4817073170731707,0.7395453178905533,0.00012108086905723865
phase2_full_training,3,8,0.463053012973537,0.4341726008816548,0.4499563258595583,0.4946646341463415,0.7349887477823818,0.00011835140355754728
phase2_full_training,4,9,0.4476309171437247,0.45053407934893186,0.4923294690869203,0.4493140243902439,0.6710641337965983,0.00011389453692895844
phase2_full_training,5,10,0.43777824262212034,0.4544337063411326,0.47201859642092775,0.4603658536585366,0.689441652449154,0.00010784568880869817
phase2_full_training,6,11,0.4203100867971156,0.47316887080366227,0.4458247826593678,0.48323170731707316,0.7152746860370566,0.00010038865038603595
phase2_full_training,7,12,0.40817827954964137,0.47744998304510006,0.4631920928453527,0.4878048780487805,0.723742317323014,9.175000000000003e-05
phase2_full_training,8,13,0.3945914895282272,0.4898270600203459,0.45017301164022305,0.5003810975609756,0.7257010186056843,8.219221867120315e-05
phase2_full_training,9,14,0.38028123977831885,0.4922007460155985,0.4482805577174919,0.5057164634146342,0.7260820462600905,7.20057147488495e-05
phase2_full_training,10,15,0.36848895101678214,0.5134367582231265,0.46371023693099256,0.5011432926829268,0.7199360203871595,6.150000000000038e-05
phase2_full_training,11,16,0.35590118718535346,0.5132248219735503,0.4787261132605192,0.4923780487804878,0.7192000661486906,5.099428525115108e-05
