phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6493339044165749,0.3014812138728324,0.6052632414545055,0.3440162271805274,0.47900641691960144,0.001
phase1_frozen,1,1,0.6031121534074662,0.3188222543352601,0.5886730983097703,0.3440162271805274,0.4676688299340096,0.0008536998372026802
phase1_frozen,2,2,0.5901310034742245,0.3243316473988439,0.5951399684194135,0.3407707910750507,0.4545610658043563,0.0005005
phase1_frozen,3,3,0.5798013816679144,0.33295700867052025,0.6027421440120643,0.3403651115618661,0.44701521365694885,0.0001473001627973194
phase1_frozen,4,4,0.5768940459097052,0.33629877167630057,0.596568243402013,0.3460446247464503,0.4496621553953777,1e-06
phase2_full_training,0,5,0.5591114902006084,0.3400523088023088,0.5963398548458942,0.4328600405679513,0.701821903201461,6.710000000000007e-05
phase2_full_training,1,6,0.5200890931925732,0.3828463203463203,0.560746097613058,0.4255578093306288,0.6630697178676974,0.000122
phase2_full_training,2,7,0.48566110761134657,0.4150883838383838,0.5340843072043955,0.42231237322515214,0.6466743598255373,0.00012108086905723827
phase2_full_training,3,8,0.46101551828704357,0.4290674603174603,0.45362808914745556,0.4993914807302231,0.7352252312375578,0.00011835140355754752
phase2_full_training,4,9,0.4426611304541171,0.439484126984127,0.5209177903422961,0.44503042596348885,0.6663013698630137,0.00011389453692895872
phase2_full_training,5,10,0.4312740375662779,0.45670995670995673,0.4247851213867234,0.5342799188640973,0.7716404784770271,0.00010784568880869833
phase2_full_training,6,11,0.41999227666493616,0.4624819624819625,0.44945704729029906,0.5058823529411764,0.7487112808233207,0.00010038865038603558
phase2_full_training,7,12,0.4079896699943584,0.4688401875901876,0.4501859570855301,0.5338742393509128,0.755961292274133,9.174999999999997e-05
phase2_full_training,8,13,0.4020918793008699,0.4858856421356421,0.4711494790371243,0.5273833671399595,0.7513561933426494,8.219221867120289e-05
phase2_full_training,9,14,0.3879432295533744,0.4891323953823954,0.48526418455715836,0.49776876267748477,0.7355327940529988,7.200571474884919e-05
phase2_full_training,10,15,0.3657966140351254,0.5008567821067821,0.4771524848367331,0.48803245436105475,0.703028857907052,6.149999999999999e-05
