phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6289416955489862,0.3293585526315789,0.5777664815678316,0.3915441176470588,0.34855165485293294,0.001
phase1_frozen,1,1,0.5730856351162258,0.38754111842105265,0.6950633455725277,0.3125,0.23648546678337512,0.0008536998372026806
phase1_frozen,2,2,0.5500106956613692,0.4029605263157895,0.5631596375914181,0.40625,0.43803834251375307,0.0005005000000000003
phase1_frozen,3,3,0.5217043212369868,0.4115953947368421,0.5562728590825025,0.41544117647058826,0.4934991679075065,0.0001473001627973196
phase1_frozen,4,4,0.522218727751782,0.42578125,0.5465309672495898,0.4338235294117647,0.5145041601079379,1e-06
phase2_full_training,0,5,0.5109529690495853,0.39901477832512317,0.5066769771716174,0.42830882352941174,0.6645231037189888,6.710000000000009e-05
phase2_full_training,1,6,0.4759052535289614,0.4191297208538588,0.442433584262343,0.5404411764705882,0.768982669399808,0.000122
phase2_full_training,2,7,0.47403284951383845,0.4628489326765189,0.5240611359477043,0.5569852941176471,0.7354463262551333,0.00012108086905723849
phase2_full_training,3,8,0.43922836630802436,0.4766009852216749,0.5497177742859897,0.49816176470588236,0.7453046645362129,0.00011835140355754741
phase2_full_training,4,9,0.41600511344195584,0.4852216748768473,0.5011686397825971,0.5753676470588235,0.7332283091229586,0.00011389453692895841
phase2_full_training,5,10,0.40339553143296925,0.5133415435139573,0.4119100461111349,0.6084558823529411,0.7525264467312971,0.00010784568880869797
phase2_full_training,6,11,0.38436426192962475,0.5287356321839081,0.48405471750918555,0.5900735294117647,0.7440563022683488,0.00010038865038603533
phase2_full_training,7,12,0.37436988142323613,0.5435139573070608,0.5075175806003458,0.5772058823529411,0.7398986655248697,9.174999999999987e-05
phase2_full_training,8,13,0.34580381295363893,0.5535714285714286,0.6103203734930824,0.5165441176470589,0.6471421426965123,8.219221867120278e-05
phase2_full_training,9,14,0.3407911250156722,0.5814860426929392,0.4424345973221695,0.625,0.794963148999237,7.200571474884923e-05
phase2_full_training,10,15,0.33391698945332043,0.5564449917898193,0.48215394313721094,0.6139705882352942,0.7695084334186519,6.149999999999998e-05
