phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6454985351504191,0.3091457201086957,0.5979956686496735,0.3361280487804878,0.39845656526879225,0.001
phase1_frozen,1,1,0.607166107824963,0.3244735054347826,0.5934655557318431,0.3227896341463415,0.40544182587978217,0.0008536998372026793
phase1_frozen,2,2,0.5946969341324724,0.3369140625,0.5942263952115687,0.3319359756097561,0.4175713841529771,0.0005004999999999996
phase1_frozen,3,3,0.5866042689784713,0.337211277173913,0.5709823791573687,0.3471798780487805,0.48849243211215376,0.0001473001627973196
phase1_frozen,4,4,0.576029020888002,0.3441321331521739,0.5704168524683976,0.3490853658536585,0.47784115582044584,1e-06
phase2_full_training,0,5,0.537853361752608,0.352068497795863,0.5675570684962157,0.41539634146341464,0.664621967997153,6.709999999999983e-05
phase2_full_training,1,6,0.5081344854128325,0.4017039674465921,0.6103120498904367,0.36509146341463417,0.4992588957546745,0.000122
phase2_full_training,2,7,0.48602316426236414,0.4167938284164123,0.4759477217931573,0.47484756097560976,0.7183598535609199,0.00012108086905723865
phase2_full_training,3,8,0.46314768712979004,0.43654628687690744,0.4767133625360524,0.4649390243902439,0.6931244232861558,0.00011835140355754728
phase2_full_training,4,9,0.4472315407084303,0.45095795184808407,0.49928346049131417,0.4557926829268293,0.6724448853369495,0.00011389453692895844
phase2_full_training,5,10,0.43695572521897563,0.45456086809087826,0.42986905138667036,0.5,0.7414554599558749,0.00010784568880869817
phase2_full_training,6,11,0.4190775315795522,0.47363513055272977,0.486701734273172,0.46227134146341464,0.6780420838483495,0.00010038865038603595
phase2_full_training,7,12,0.4087169287406052,0.47863682604272634,0.48665073332263203,0.5019054878048781,0.7213682174815648,9.175000000000003e-05
phase2_full_training,8,13,0.39322976228361334,0.49080196676839605,0.48164251737478303,0.49314024390243905,0.7118469548320325,8.219221867120315e-05
phase2_full_training,9,14,0.3790960314921421,0.49207358426585285,0.45665152489048677,0.5137195121951219,0.7289394765539804,7.20057147488495e-05
phase2_full_training,10,15,0.36808903585069663,0.5158528314682943,0.5093730337372641,0.48589939024390244,0.6995472215515828,6.150000000000038e-05
