phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6572595572885062,0.2966040462427746,0.6138564162757285,0.31115618661257605,0.3658592901829997,0.001
phase1_frozen,1,1,0.6107253595928236,0.3193190028901734,0.6039987810726823,0.3095334685598377,0.35285512971270583,0.0008536998372026802
phase1_frozen,2,2,0.5994027359464954,0.32008670520231214,0.6083782078286455,0.3200811359026369,0.34592255695234764,0.0005005
phase1_frozen,3,3,0.5858377930573645,0.32776372832369943,0.6064812649577916,0.3200811359026369,0.3834815398097766,0.0001473001627973194
phase1_frozen,4,4,0.5857890345629929,0.32970556358381503,0.6021607927086388,0.3152129817444219,0.3874328126749793,1e-06
phase2_full_training,0,5,0.5428205422444261,0.3494318181818182,0.5852165042991329,0.4109533468559838,0.6663712295492263,6.710000000000007e-05
phase2_full_training,1,6,0.5045345879413865,0.3998466810966811,0.7315638863774391,0.37890466531440165,0.5662969844020345,0.000122
phase2_full_training,2,7,0.48117418164685694,0.41675685425685427,0.5030608696579691,0.46206896551724136,0.6938271452182516,0.00012108086905723827
phase2_full_training,3,8,0.4596181605736931,0.42622655122655123,0.5766777804125153,0.46612576064908723,0.7055076450450269,0.00011835140355754752
phase2_full_training,4,9,0.4406646571376107,0.44079184704184704,0.6292752838038044,0.4896551724137931,0.7539234065697068,0.00011389453692895872
phase2_full_training,5,10,0.43047156357468463,0.45612373737373735,0.5406790866087706,0.496551724137931,0.734159558425084,0.00010784568880869833
phase2_full_training,6,11,0.41714252326718143,0.45919011544011545,0.5764282475378644,0.472210953346856,0.6889761751352659,0.00010038865038603558
phase2_full_training,7,12,0.4088220424079276,0.4666305916305916,0.5430106512431441,0.5014198782961461,0.7225367437904238,9.174999999999997e-05
phase2_full_training,8,13,0.4015291272077984,0.4758297258297258,0.542211718612462,0.5160243407707911,0.7292542262214718,8.219221867120289e-05
