phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6507601103162378,0.4872967479674797,0.5701305213016626,0.7196128664958725,0.2691377354607971,0.001
phase1_frozen,1,1,0.5682641505225887,0.6786077235772358,0.5283371753208053,0.7335610589239966,0.15300049912825597,0.0008536998372026798
phase1_frozen,2,2,0.5305942939064368,0.7058561991869918,0.5170091765747429,0.7366922857956163,0.18290507009830737,0.0005004999999999994
phase1_frozen,3,3,0.5201765592020702,0.7136686991869918,0.511242617221765,0.7375462567606035,0.18952637970330422,0.00014730016279731933
phase1_frozen,4,4,0.5139094152586247,0.7157012195121951,0.5109540587081687,0.7372615997722745,0.18353852761343814,1e-06
phase2_full_training,0,5,0.516528835125728,0.7145073454913881,0.4773982637481,0.7606034728152576,0.47127755020609785,5.5000000000000226e-05
phase2_full_training,1,6,0.502194215748327,0.7196048632218845,0.4577930439936955,0.7805294619982921,0.5950950231358438,0.0001
phase2_full_training,2,7,0.4822323083152887,0.724829027355623,0.4450325091747758,0.7930543694847708,0.6342694771476354,9.97758601673679e-05
phase2_full_training,3,8,0.45938220360479576,0.735498986828774,0.4246573315245658,0.7956162823797325,0.6690667898325628,9.910547051450426e-05
phase2_full_training,4,9,0.4390921567952621,0.7381268996960486,0.4252700540047577,0.7947623114147452,0.6726087143288382,9.79949021939182e-05
phase2_full_training,5,10,0.4259410736499224,0.7429711246200608,0.4162585756784146,0.8004554511813265,0.6794435503198173,9.645421268429583e-05
phase2_full_training,6,11,0.4180835097077045,0.7450291286727457,0.41280153888329935,0.8007401081696556,0.6827901376686831,9.44973547084191e-05
phase2_full_training,7,12,0.4088496843234022,0.7516780648429585,0.41536523063672154,0.807002561912895,0.7018184093392642,9.21420498751437e-05
phase2_full_training,8,13,0.4073930458668638,0.7515830800405269,0.4194999227250976,0.8089951608311984,0.7013793663315315,8.940962818976804e-05
phase2_full_training,9,14,0.380356028834556,0.7557307497467072,0.431379087241735,0.8101337887845147,0.6960026161554697,8.632483488620104e-05
phase2_full_training,10,15,0.3750406995853513,0.7574721377912867,0.4251265205483202,0.8121263877028181,0.6954633386185667,8.29156063302917e-05
phase2_full_training,11,16,0.36517275980812436,0.7634245187436677,0.4253644757025811,0.8101337887845147,0.6967651413155058,7.921281702377455e-05
phase2_full_training,12,17,0.35289703899845404,0.7695035460992907,0.4156317476224533,0.8109877597495019,0.6942570566437678,7.524999999999995e-05
phase2_full_training,13,18,0.3397847094932588,0.763677811550152,0.42015721663565436,0.8121263877028181,0.6878078114697899,7.106304314359345e-05
phase2_full_training,14,19,0.3229390984701168,0.7657041540020263,0.43980516863622593,0.8104184457728437,0.6852912070639339,6.668986418421252e-05
phase2_full_training,15,20,0.30715412662384356,0.7702634245187436,0.45666401761398673,0.8118417307144891,0.6883191353104873,6.217006730771688e-05
phase2_full_training,16,21,0.3013042461470509,0.7727013677811551,0.4770337807090405,0.8152576145744378,0.6961135340143114,5.754458449452852e-05
phase2_full_training,17,22,0.28739134841641034,0.7687753292806484,0.4885778304283822,0.8172502134927413,0.704607464729115,5.285530483327601e-05
phase2_full_training,18,23,0.27953942043078345,0.7770390070921985,0.498548101613639,0.8212354113293482,0.7133112835315457,4.814469516672553e-05
phase2_full_training,19,24,0.26354238709100836,0.7803001519756839,0.511631875806068,0.8200967833760319,0.7055709917035722,4.34554155054731e-05
phase2_full_training,20,25,0.2509866694277181,0.7934080547112462,0.516201062612034,0.8226586962709934,0.7163383033555386,3.8829932692284005e-05
phase2_full_training,21,26,0.24417615324455072,0.788152228976697,0.5137548138197419,0.8189581554227157,0.7044441271389239,3.4310135815788156e-05
phase2_full_training,22,27,0.2347102124194908,0.790273556231003,0.5249522346870668,0.8172502134927413,0.6963900208475422,2.9936956856406764e-05
phase2_full_training,23,28,0.22959264911703667,0.7931547619047619,0.5353051407398948,0.8186734984343865,0.7014016400442029,2.575000000000009e-05
phase2_full_training,24,29,0.21596408623677377,0.7915083586626139,0.5464275155928003,0.8172502134927413,0.6894801484324529,2.1787182976225863e-05
phase2_full_training,25,30,0.2117110056257236,0.7890070921985816,0.5565344035082518,0.8172502134927413,0.6869313178311245,1.808439366970854e-05
phase2_full_training,26,31,0.2177113189636574,0.794927811550152,0.5661389974491772,0.8181041844577285,0.6890029687679853,1.4675165113798916e-05
phase2_full_training,27,32,0.20218226647244156,0.7980939716312057,0.5834066562424554,0.8172502134927413,0.6912414271532039,1.1590371810231952e-05
phase2_full_training,28,33,0.20361426657229934,0.7977140324214792,0.5923244291616918,0.8166808995160831,0.6837994070220286,8.857950124856487e-06
phase2_full_training,29,34,0.20014278829595963,0.8053761398176292,0.5887818693894116,0.8186734984343865,0.6867738439801924,6.502645291581398e-06
phase2_full_training,30,35,0.1854733434461412,0.7996770516717325,0.5981280640798384,0.8175348704810703,0.6858778791386233,4.545787315704507e-06
phase2_full_training,31,36,0.18745666323748644,0.8008168693009119,0.6040437842854196,0.8166808995160831,0.683769821554894,3.005097806082608e-06
phase2_full_training,32,37,0.18013000669450382,0.8010701621073961,0.607590472854307,0.8181041844577285,0.6858876492698149,1.8945294854961309e-06
phase2_full_training,33,38,0.177760568399288,0.8074974670719351,0.6081556390229705,0.8166808995160831,0.6831678207453578,1.2241398326323418e-06
