phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6678634983088289,0.5540231717687075,0.6413154486488817,0.7163497290980558,0.12223801959370018,0.001
phase1_frozen,1,1,0.6248378950190179,0.6411963222789115,0.6202925754241858,0.7177307978327845,0.11157990639914994,0.0008536998372026777
phase1_frozen,2,2,0.6109818374472005,0.6502577593537415,0.6136107985149923,0.7184744502284075,0.13404923077154351,0.0005004999999999974
phase1_frozen,3,3,0.6025847642853552,0.655359800170068,0.6197536731265271,0.7207054074152768,0.11727597836184733,0.00014730016279731835
phase1_frozen,4,4,0.5933401445116924,0.6620960884353742,0.6253156685352984,0.7193243386805481,0.1273154114050966,1e-06
phase2_full_training,0,5,0.6096135271311313,0.4084750265674814,0.563373930988942,0.5786677998512695,0.49890272220416876,4.763000000000011e-05
phase2_full_training,1,6,0.5404799646924583,0.38594580233793835,0.5315306587818515,0.664719005630511,0.5680212578334632,8.66e-05
phase2_full_training,2,7,0.5176877127317009,0.4090595111583422,0.523116076076802,0.7279294592584723,0.5083429226344318,8.640619828612793e-05
phase2_full_training,3,8,0.4964233427036328,0.42589001062699255,0.5212243733339705,0.6202060979496441,0.6098073113320785,8.58265482428437e-05
phase2_full_training,4,9,0.48314621026343674,0.4382837407013815,0.5056377110756838,0.7380218846276426,0.5213170920753143,8.486629927070038e-05
phase2_full_training,5,10,0.4713242865235849,0.44264080765143465,0.5122171271167728,0.7210241155848295,0.5762914010012907,8.353414753308799e-05
phase2_full_training,6,11,0.4599449479997981,0.44860520722635494,0.5094210945950752,0.7419526187187931,0.5705993112069907,8.184215720243078e-05
phase2_full_training,7,12,0.44683430089707327,0.4628852284803401,0.5187752862817788,0.7322851375756932,0.5832179933145213,7.980565120517455e-05
phase2_full_training,8,13,0.43840551400887723,0.4693544102019129,0.5181150528534331,0.7226176564325932,0.6121906846610345,7.744307245499128e-05
phase2_full_training,9,14,0.431447833776474,0.4674814027630181,0.5398760314899816,0.7263359184107085,0.5810024482246869,7.477581683089681e-05
phase2_full_training,10,15,0.42266544194517935,0.471692348565356,0.5715233743741663,0.7276107510889196,0.5765161987527038,7.182803941285833e-05
phase2_full_training,11,16,0.41055734273477773,0.47652763018065886,0.5776789532221429,0.7387655370232658,0.5280937283039849,6.862643572964722e-05
