phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6720022382704836,0.4981496710526316,0.7371047012466599,0.5397412199630314,0.29615389083136834,0.001
phase1_frozen,1,1,0.6291218470585974,0.5662006578947368,0.6932246330264756,0.5656192236598891,0.3155388818906507,0.0008536998372026806
phase1_frozen,2,2,0.5918802336642617,0.5668174342105263,0.6171635343054527,0.5674676524953789,0.5100683528970669,0.0005005000000000003
phase1_frozen,3,3,0.5647096073156909,0.5719572368421053,0.5831993486656499,0.5767097966728281,0.5233522524510203,0.0001473001627973196
phase1_frozen,4,4,0.559796973278648,0.5733963815789473,0.5874254450119357,0.5878003696857671,0.5003977504919164,1e-06
phase2_full_training,0,5,0.5683421911579547,0.4581270627062706,0.830881886032725,0.5526802218114603,0.1944674479724714,6.709999999999987e-05
phase2_full_training,1,6,0.5548708552476203,0.4412128712871287,0.5628751802797017,0.6173752310536045,0.6393338230362213,0.000122
phase2_full_training,2,7,0.5183647125959396,0.4783415841584158,0.5264823815738868,0.6561922365988909,0.7421898532155462,0.00012172605131567169
phase2_full_training,3,8,0.4888478992599072,0.5165016501650165,0.5578218702908585,0.6414048059149723,0.770722185761648,0.00012090668618439396
phase2_full_training,4,9,0.45524352965968673,0.5154702970297029,0.8579054760183733,0.5804066543438078,0.4641437088378382,0.00011954932490367733
phase2_full_training,5,10,0.42258755442234547,0.5509488448844885,0.6526125521844945,0.6543438077634011,0.6644264467872493,0.00011766625994747267
phase2_full_training,6,11,0.4073819484155957,0.5544554455445545,0.65090759977175,0.6451016635859519,0.6477792923846921,0.00011527454464362315
phase2_full_training,7,12,0.38089152322252195,0.5787953795379538,0.6098015246682158,0.6598890942698706,0.6808346798783328,0.00011239583873628665
phase2_full_training,8,13,0.3513917802731589,0.5853960396039604,0.6400615545385646,0.6524953789279113,0.663029845327842,0.0001090562122319388
phase2_full_training,9,14,0.3379682383619913,0.5973597359735974,0.6783534477907276,0.66728280961183,0.6612306379999359,0.00010528590930535697
